12,12,12,12,12,12,12,12,12,11,13,12,12,11,11,10,11,11,11,11,11,11,9,10,10,10,10,10,9,10,10,10,10,10,10,9,10,10,9,9,9,9,8,9,10,10,10,10,10,9,10,11,11,11,11,11,11,11,0
12,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,9,9,9,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,11,0
12,10,10,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,8,8,8,7,7,7,7,7,8,8,9,10,0
12,9,8,7,7,6,6,6,6,0,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,6,6,7,7,7,7,9,0
11,9,8,7,7,5,5,5,0,0,0,0,5,5,5,5,5,5,5,5,5,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,8,9,0
12,9,8,7,7,5,5,5,0,0,0,0,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,10
12,9,8,7,7,5,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,8,10
12,11,10,10,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,6,7,7,7,8,8,9,9,10
12,11,10,10,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,6,7,7,8,8,9,10,10,10
12,9,9,8,8,6,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,6,7,7,7,8,8,9,10,10,10
12,9,9,8,8,7,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,6,7,7,7,7,8,9,9,10,10,11
11,9,9,8,8,7,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,7,7,7,7,7,8,8,9,10,10,10,10,10
12,10,9,8,8,7,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,8,9,9,8,8,8,8,8,9,10,10,10,10,10
12,10,9,8,8,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,0,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,5,6,7,8,8,9,10,10,10,11,11,12,12,12,12,12,12,12,10,15,15
12,10,10,9,8,7,7,7,6,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,8,8,8,9,9,11,12,12,18,18,18,18,18,18,0,0,15,15
12,11,9,8,8,8,8,7,7,6,6,6,6,6,6,7,7,7,7,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,8,8,8,9,9,9,10,11,18,18,18,18,18,18,18,18,18,0,0,15,15
12,11,10,9,8,8,8,8,8,7,7,7,7,7,8,8,8,8,8,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10,0,11,18,18,18,18,18,18,11,12,11,12,0,15
